Original    Solution
000600300   214658397
005000000   835719264
000230010   679234815
403160720   483165729
000082000   761982453
000000080   952473186
100040500   196847532
007000600   327591648
000000000   548326971

Original    Solution
000060000   235761849
010200000   418259673
000040000   967843125
500000360   542918367
600037080   691537284
800400000   873426591
720185000   724185936
300000400   359672418
000000000   186394752

Original    Solution
500000700   531268794
060010000   768419253
042503000   942573168
004080030   154682937
003000600   293754681
800301000   876391425
300040010   325947816
000000040   617825349
000000000   489136572

Original    Solution
006850000   126857394
070300600   574319628
000000000   389426157
805204700   815294736
400070000   463175289
000003000   297683415
008061040   738561942
042000000   642938571
000000000   951742863

Original    Solution
300780500   312784569
008006000   478596231
500100000   569123478
030208100   735248196
000000850   241967853
000000000   986315742
000630020   854631927
027000010   627859314
000000000   193472685

Original    Solution
000002000   134562798
720000000   728349156
000001430   965781432
800100600   847193625
050870000   251876349
000050000   396254817
503007080   513627984
600030070   689435271
000000000   472918563

Original    Solution
000020400   319625478
054010000   254817369
708040100   768349125
100708000   135768294
000500000   487592613
026000000   926431587
041006700   541986732
000100000   872153946
000000000   693274851

Original    Solution
702400060   712453869
400070000   456879123
000000050   839126754
004002000   364582917
080000030   981647235
000030600   527931648
200060300   245768391
608010400   698315472
000000000   173294586

Original    Solution
024060000   324561789
870300000   875329146
061004320   961874325
000730800   416735892
000000000   237498651
080000400   589216437
100000060   142987563
003100000   653142978
000000000   798653214

Original    Solution
000000070   123569478
800320500   849327516
006004000   756184239
500002000   561842793
008000000   278935641
030000800   934671852
000050180   392756184
607008320   617498325
000000000   485213967

Original    Solution
008000000   728469135
000380070   961385274
405021000   435721698
002000000   152934867
600000000   693278541
000056020   847156923
370000480   376512489
010000350   214897356
000000000   589643712

Original    Solution
400308000   415328679
006000530   826479531
700650000   739651248
000007000   351897462
080200050   684213957
200006010   297546813
000004000   172964385
063000020   963185724
000000000   548732196

Original    Solution
040000280   647135289
130007000   132897456
580400000   589426713
000000100   423579168
801600300   851642397
006010040   796318542
004000600   214983675
000700000   368751924
000000000   975264831

Original    Solution
352000600   352147689
006000000   186239457
004068100   794568123
200080040   213785946
005000000   675394218
000002000   849612375
008000030   428976531
007450800   937451862
000000000   561823794

Original    Solution
000080000   263485197
050001000   458791632
010000800   719326845
507000200   587134269
100060450   192867453
306000000   346952718
804500370   824519376
000200000   675243981
000000000   931678524

Original    Solution
104000800   164273895
030065070   239865174
005000000   785149236
000000000   341592768
000634000   857634912
020700050   926718453
078050020   478956321
002001000   592381647
000000000   613427589

Original    Solution
050000230   456187239
310000000   318259746
000000500   297463518
005004170   625894173
040030000   149732865
080000000   783516492
032070080   532671984
070320000   974328651
000000000   861945327

Original    Solution
000004000   135684279
060005810   762935814
040002000   849172635
070060500   371468592
006010000   596213487
000000300   428759361
210300050   217346958
650007000   654897123
000000000   983521746

Original    Solution
015300000   715328496
060000780   269415783
040000000   348697251
000800060   127849365
000000100   894536127
053172000   653172849
001000500   981263574
006084000   536784912
000000000   472951638

Original    Solution
000050000   126753849
003008710   453298716
070400000   879461352
061300200   561349278
004000000   384172965
000605400   297685431
000000000   612934587
030807620   935817624
000000000   748526193

Original    Solution
000130000   248137569
570006000   573896241
060000080   169254387
001080030   451689732
000405000   382475916
700000000   796312854
000000620   915743628
034008170   634928175
000000000   827561493

Original    Solution
000002400   356182479
010000680   214397685
700506000   789546123
003700000   163724598
040600000   548639217
020005360   927815364
002070000   632478951
801000000   891253746
000000000   475961832

Original    Solution
000200800   346215879
001804060   291874365
780060000   785369124
000043000   179643258
800000000   853127496
062000000   462598713
007051680   937451682
020000000   524786931
000000000   618932547

Original    Solution
010000200   518637249
700004800   729154836
630802700   634892751
070000010   273468915
000705000   941725683
000300000   865319427
456000000   456273198
307000000   387941562
000000000   192586374

Original    Solution
006000030   246158739
105007000   135297648
000000000   897643251
000000400   752319486
304562100   384562197
060074000   961874325
500000010   523786914
470030000   478931562
000000000   619425873

Original    Solution
104000200   154367289
003000500   673289514
002050000   892451736
008600300   218694357
060502000   769532148
340000000   345178962
000005000   986715423
527000600   527843691
000000000   431926875

Original    Solution
040210800   643215879
108000200   198637254
500400000   527489136
006000010   456923718
002500600   782541693
000800000   931876425
000002040   865792341
370060000   379164582
000000000   214358967

Original    Solution
000302000   415362789
006007000   396187245
000000000   872549163
620000300   624971358
180000070   189635472
500420600   537428691
700000830   751294836
243000000   243856917
000000000   968713524

Original    Solution
200001500   246371589
000002300   587492316
013508000   913568247
000000000   891634725
700050060   724159863
635020000   635827491
100080000   152786934
008003000   478913652
000000000   369245178

Original    Solution
703000400   723168459
060302000   469352178
000000600   158497623
040070510   346879512
000040700   581243796
000600000   972615384
035086000   235786941
010020000   617924835
000000000   894531267

Original    Solution
005000000   345267189
000140200   678149235
021030700   921538746
010056000   213756498
580020000   587924613
060000070   469381572
730000000   732495861
000800300   196872354
000000000   854613927

Original    Solution
021680000   321687459
